dialogue,timestamp,case,cvid,instrument,action,tissue
"check on the left side, just see what's uhh.. it was either...",09:13:17,1,c1_s0_0-35-52.avi,[NONE],[Check on the left side],[NONE]
just give that a little tap there,09:13:55,1,c1_s0_0-36-30.avi,[NONE],[tap little],[NONE]
alright that's fine,09:13:57,1,c1_s0_0-36-32.avi,[NONE],[NONE],[NONE]
alright let's do a little uh... uh... mhm.. that's very small prostate.. okay,09:13:59,1,c1_s0_0-36-34.avi,[NONE],[NONE],[small prostate]
yeah,09:14:06,1,c1_s0_0-36-41.avi,[NONE],[NONE],[NONE]
so where do you want to go?,09:14:08,1,c1_s0_0-36-43.avi,[NONE],[NONE],[NONE]
yeah that's reasonable,09:14:15,1,c1_s0_0-36-50.avi,[NONE],[NONE],[NONE]
"just stay in that plane though, yeah?",09:14:17,1,c1_s0_0-36-52.avi,[NONE],[stay],[surgical plane]
you can even come 1 mm closer to the prostate,09:14:19,1,c1_s0_0-36-54.avi,[NONE],[come closer],[prostate]
1 mm closer to the prostate,09:14:31,1,c1_s0_0-37-6.avi,[NONE],[closer],[prostate]
so... one second,09:14:45,1,c1_s0_0-37-20.avi,[NONE],[NONE],[NONE]
"so I want you to... so you're gonna stay kind of a horizontal line, okay?",09:14:47,1,c1_s0_0-37-22.avi,[NONE],[stay],[NONE]
"at some point, you're gonna deviate this way, it's a very mild smile, okay?",09:14:53,1,c1_s0_0-37-28.avi,[NONE],[deviate],[NONE]
"in your last incision here you went down instead, the opposite direction",09:15:00,1,c1_s0_0-37-35.avi,[NONE],[NONE],[NONE]
"and I like it wide, I like the incision to be wide so you're not digging yourself in a hole",09:15:11,1,c1_s0_0-37-46.avi,[NONE],[make it wide],[NONE]
"good, I like that",09:15:23,1,c1_s0_0-37-58.avi,[NONE],[NONE],[NONE]
so make sure you stay in the same plane... more or less are,09:15:37,1,c1_s0_0-38-12.avi,[NONE],[stay],[NONE]
and about there you can start doing a little mild smile towards the prostate,09:15:44,1,c1_s0_0-38-19.avi,[NONE],[start doing],[prostate]
"okay, so open up wide, this is what I mean by not digging yourself in a hole... I want all the lateral stuff opened up or dropped",09:16:36,1,c1_s0_0-39-11.avi,[NONE],"[open up wide, open up, drop]",[lateral structure]
and the reason for that is it gives you a sense of the prostate's contour,09:16:50,1,c1_s0_0-39-25.avi,[NONE],[NONE],[prostate contour]
as opposed to this distorted thing where you have,09:16:55,1,c1_s0_0-39-30.avi,[NONE],[NONE],[NONE]
mhm that's good,09:17:01,1,c1_s0_0-39-36.avi,[NONE],[NONE],[NONE]
does that make sense?,09:17:05,1,c1_s0_0-39-40.avi,[NONE],[NONE],[NONE]
so even more than what you've actually done... I would've...,09:17:09,1,c1_s0_0-39-44.avi,[NONE],[NONE],[NONE]
just buzz that right there when you can see it... whatever the... yeah bladder neck thing,09:17:13,1,c1_s0_0-39-48.avi,[electrocautery],[buzz],[bladder neck]
"okay, so can I show you one thing here, okay",09:18:13,1,c1_s0_0-40-48.avi,[NONE],[NONE],[NONE]
"okay, yes but I want the elbow of the scissors dropped.. or the graspers dropped",09:18:36,1,c1_s0_0-41-11.avi,"[scissors, graspers]",[drop],[NONE]
"and if you can, be more midline... you see how you're a little tweeked to one side than the other",09:18:41,1,c1_s0_0-41-16.avi,[NONE],[be more midline],[NONE]
"okay, that's pretty good",09:18:45,1,c1_s0_0-41-20.avi,[NONE],[NONE],[NONE]
so what does that tell you?,09:18:46,1,c1_s0_0-41-21.avi,[NONE],[NONE],[NONE]
I'm not impressed,09:18:51,1,c1_s0_0-41-26.avi,[NONE],[NONE],[NONE]
"so now, you can either hold it there and take your bladder neck, okay?",09:18:53,1,c1_s0_0-41-28.avi,[NONE],"[hold, take]",[bladder neck]
"and that is your former retraction, so I think it can go, yep, go ahead",09:18:58,1,c1_s0_0-41-33.avi,[retractor],[go ahead],[NONE]
so small measured things here,09:19:12,1,c1_s0_0-41-47.avi,[NONE],[NONE],[NONE]
so here... I would... so this is where you're gonna be,09:19:23,1,c1_s0_0-41-58.avi,[NONE],[NONE],[NONE]
and then here you're gonna kind of match up a little bit there,09:19:29,1,c1_s0_0-42-4.avi,[NONE],[match up],[NONE]
sure yeah that's fine,09:19:34,1,c1_s0_0-42-9.avi,[NONE],[NONE],[NONE]
"just a little bit towards the bladder, a touch",09:19:37,1,c1_s0_0-42-12.avi,[NONE],[NONE],[bladder]
"yeah, that's good",09:20:01,1,c1_s0_0-42-36.avi,[NONE],[NONE],[NONE]
"so make sure... so one thing, look at your left hand... my pet peeve is... so don't stretch it so much, you're destroying your natural elasticity of your bladder neck, okay?",09:20:15,1,c1_s0_0-42-50.avi,[left hand],"[make sure, look, don't stretch]",[bladder neck]
"no, so the other... that was just to get going",09:20:35,1,c1_s0_0-43-10.avi,[NONE],[NONE],[NONE]
"yeah, that's fine",09:20:41,1,c1_s0_0-43-16.avi,[NONE],[NONE],[NONE]
just buzz what's on the bladder neck that's oozing... well both... there's two things that are oozing... you want to minimize these distractions,09:20:43,1,c1_s0_0-43-18.avi,[electrocautery],"[buzz, minimize]",[bladder neck]
"and then on the anterior bladder neck, take care of that",09:20:51,1,c1_s0_0-43-26.avi,[NONE],[take care],[anterior bladder neck]
"okay, that's better",09:21:00,1,c1_s0_0-43-35.avi,[NONE],[NONE],[NONE]
"I'm glad you're cautious, but you're like... barely touching the tissue",09:21:38,1,c1_s0_0-44-13.avi,[NONE],[NONE],[tissue]
so my feedback to you is that you barely do a few buzzes and then you let go of everything and you're starting all over again,09:22:09,1,c1_s0_0-44-44.avi,[NONE],[NONE],[NONE]
"the efficiency is pretty bad, okay?",09:22:19,1,c1_s0_0-44-54.avi,[NONE],[NONE],[NONE]
"so stick with something for a little bit, maximize what you can do there",09:22:22,1,c1_s0_0-44-57.avi,[NONE],"[stick, maximize]",[NONE]
so there on that side... you're going to have to come back a little bit,09:22:28,1,c1_s0_0-45-3.avi,[NONE],[come back a little bit],[NONE]
stay there,09:22:40,1,c1_s0_0-45-15.avi,[NONE],[stay],[NONE]
"yeah, you can, you can... I thought when you were talking about the lateral thing I thought you were talking about the anteiror part",09:22:44,1,c1_s0_0-45-19.avi,[NONE],[NONE],"[lateral structure, anterior structure]"
"yeah, you can definitely... I do want you to do the lateral part",09:22:52,1,c1_s0_0-45-27.avi,[NONE],[do],[lateral structure]
"yeah, so that's the problem... okay come back... so I'm going to take over for a quick second, okay?",09:23:37,1,c1_s0_0-46-12.avi,[NONE],[come back],[NONE]
