model,task,auprc_mean,auroc_mean,accuracy_mean,precision_mean,recall_mean,f1_mean,confusion_matrix,confusion_matrix_labels,sample_predictions
surgvlp,instrument,0.550645524411446,0.60933125798212,0.4593103448275862,0.4553298214069005,0.4593103448275862,0.4455387020309732,"[[ 8  5  4  3]
 [ 7 49 13  9]
 [ 1 15  9  4]
 [ 4  6  9  2]]","[np.str_('clipper'), np.str_('bipolar'), np.str_('scissors'), np.str_('grasper')]",['bipolar' 'scissors' 'bipolar' 'bipolar' 'clipper' 'scissors']
surgvlp,verb,0.523451312820058,0.6691954785106247,0.4522177419354839,0.4271268236033416,0.4522177419354839,0.4299348724780023,"[[ 1  3  0  1  3]
 [ 1 18  0  7 15]
 [ 0  3  2  1  2]
 [ 1  6  1  6 18]
 [ 0 15  1  9 45]]","[np.str_('coagulate'), np.str_('cut'), np.str_('clip'), np.str_('retract'), np.str_('grasp')]",['cut' 'grasp' 'cut' 'cut' 'grasp' 'grasp']
surgvlp,target,0.8712482410999012,0.7689804651245805,0.8453201970443349,0.7984721485411141,0.8453201970443349,0.8143533831873031,"[[113   1   5]
 [  8   1   0]
 [  8   0   6]]","[np.str_('blood_vessel'), np.str_('cystic_artery'), np.str_('peritoneum')]","['blood_vessel' 'blood_vessel' 'blood_vessel' 'blood_vessel' 'peritoneum'
 'blood_vessel']"
hecvl,instrument,0.5258388458716233,0.6274881864623244,0.47954022988505746,0.49340873574756633,0.47954022988505746,0.4705828791197283,"[[ 8  6  3  3]
 [ 5 48 14 11]
 [ 2 13 11  3]
 [ 1  7  9  4]]","[np.str_('clipper'), np.str_('bipolar'), np.str_('scissors'), np.str_('grasper')]",['grasper' 'scissors' 'scissors' 'scissors' 'scissors' 'bipolar']
hecvl,verb,0.5374689186194189,0.6871204257072453,0.4901209677419355,0.4811479716520039,0.4901209677419355,0.47750737642965113,"[[ 0  3  0  1  4]
 [ 2 17  1  8 13]
 [ 0  4  2  1  1]
 [ 2  5  1 14 10]
 [ 0 15  3  7 45]]","[np.str_('coagulate'), np.str_('cut'), np.str_('clip'), np.str_('retract'), np.str_('grasp')]",['grasp' 'grasp' 'grasp' 'grasp' 'grasp' 'grasp']
hecvl,target,0.88341453499743,0.7515043817377027,0.8458128078817735,0.8005149256873395,0.8458128078817735,0.8176611275051894,"[[113   1   5]
 [  9   0   0]
 [  7   0   7]]","[np.str_('blood_vessel'), np.str_('cystic_artery'), np.str_('peritoneum')]","['blood_vessel' 'blood_vessel' 'blood_vessel' 'blood_vessel' 'peritoneum'
 'blood_vessel']"
peskavlp,instrument,0.5682821883567886,0.6607765006385696,0.526896551724138,0.4896053371540187,0.526896551724138,0.499711728778666,"[[ 6  8  5  1]
 [ 5 60  7  6]
 [ 3 11  8  7]
 [ 1  9  7  4]]","[np.str_('clipper'), np.str_('bipolar'), np.str_('scissors'), np.str_('grasper')]",['bipolar' 'grasper' 'bipolar' 'scissors' 'scissors' 'bipolar']
peskavlp,verb,0.5843953191325604,0.7162915426587302,0.5280241935483871,0.5167741106869926,0.5280241935483871,0.5067842295820923,"[[ 1  0  0  1  6]
 [ 2 22  1  6 10]
 [ 0  1  2  1  4]
 [ 2  4  1 10 15]
 [ 1  9  2  9 49]]","[np.str_('coagulate'), np.str_('cut'), np.str_('clip'), np.str_('retract'), np.str_('grasp')]",['grasp' 'grasp' 'grasp' 'retract' 'grasp' 'grasp']
peskavlp,target,0.9007561073163057,0.8228151549225388,0.8736453201970443,0.843741505620816,0.8736453201970443,0.8554868690584921,"[[114   1   4]
 [  7   2   0]
 [  5   1   8]]","[np.str_('blood_vessel'), np.str_('cystic_artery'), np.str_('peritoneum')]","['blood_vessel' 'blood_vessel' 'blood_vessel' 'blood_vessel' 'peritoneum'
 'blood_vessel']"
videomae_urology,instrument,0.43366434065318293,0.5015641762452108,0.391264367816092,0.3800596648822869,0.391264367816092,0.3698363140660465,"[[ 3 12  3  2]
 [ 6 48 16  8]
 [ 3 17  5  4]
 [ 4 13  2  2]]","[np.str_('clipper'), np.str_('bipolar'), np.str_('scissors'), np.str_('grasper')]",['bipolar' 'bipolar' 'bipolar' 'clipper' 'grasper' 'clipper']
videomae_urology,verb,0.542192918353343,0.6731313804083461,0.4592741935483871,0.4574485494344366,0.4592741935483871,0.44211423943880784,"[[ 2  4  0  0  2]
 [ 5 19  2  6  9]
 [ 0  3  2  1  2]
 [ 1  6  3  7 15]
 [ 2 10  2 13 43]]","[np.str_('coagulate'), np.str_('cut'), np.str_('clip'), np.str_('retract'), np.str_('grasp')]",['clip' 'grasp' 'retract' 'grasp' 'grasp' 'cut']
videomae_urology,target,0.8115944718589564,0.6886193064182196,0.8100985221674877,0.7306604634190841,0.8100985221674877,0.7674929897688518,"[[113   2   4]
 [  8   0   1]
 [ 12   0   2]]","[np.str_('blood_vessel'), np.str_('cystic_artery'), np.str_('peritoneum')]","['blood_vessel' 'blood_vessel' 'blood_vessel' 'blood_vessel'
 'blood_vessel' 'blood_vessel']"
videomae_cholect45,instrument,0.5888706615153543,0.6783406768837803,0.5344827586206897,0.5846202266471296,0.5344827586206897,0.5240598920274376,"[[ 5 11  2  2]
 [ 9 54  6  9]
 [ 2 10 13  4]
 [ 2  9  3  7]]","[np.str_('clipper'), np.str_('bipolar'), np.str_('scissors'), np.str_('grasper')]",['bipolar' 'scissors' 'bipolar' 'grasper' 'grasper' 'bipolar']
videomae_cholect45,verb,0.5419240853718474,0.6403976854518689,0.4717741935483871,0.4456827980899501,0.4717741935483871,0.4550928309633108,"[[ 0  4  0  0  4]
 [ 2 19  3  7 10]
 [ 0  2  2  3  1]
 [ 1 10  1  7 13]
 [ 1 10  1 11 47]]","[np.str_('coagulate'), np.str_('cut'), np.str_('clip'), np.str_('retract'), np.str_('grasp')]",['grasp' 'grasp' 'cut' 'grasp' 'grasp' 'cut']
videomae_cholect45,target,0.8643942176946251,0.7743345960948098,0.8317733990147783,0.784055969573211,0.8317733990147783,0.8011362673148076,"[[113   1   5]
 [  8   1   0]
 [  9   1   4]]","[np.str_('blood_vessel'), np.str_('cystic_artery'), np.str_('peritoneum')]","['blood_vessel' 'cystic_artery' 'blood_vessel' 'blood_vessel'
 'blood_vessel' 'blood_vessel']"
