Dialogue,Timestamp,Case,instrument-label,instrument-pred,instrument-correct,action-label,action-pred,action-correct,tissue-label,tissue-pred,tissue-correct,cvid,valid,generated_feedback
(explaining sutures),18:07:39,9,suturing_tools,suturing_tools,True,,,,,,,c9_s0_1-59-56.avi,True,Advance the needle driver to secure the suture on the tissue.
", I will say it again, this is too medial. this is aorta, this is cava. you keep coming down here and telling me you don't know where you're going",09:30:52,24,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c24_s0_0-26-22.avi,True,Ensure precise dissection and maintain clear visualization of the tissue plane.
", if you're going to keep running this one, regrab your fourth arm closer and pull it up",10:10:51,16,auxiliary_arm,auxiliary_arm,True,traction_retract,traction_retract,True,,,,c16_s0_1-15-55.avi,True,Advance the needle driver to secure the suture.
", is that a gigantic suture? how much do you have some fluid in the bladder or no?",16:17:54,18,suturing_tools,suturing_tools,True,,,,,,,c18_s0_1-45-49.avi,True,"Instrument: Large Needle Driver, Action: Suturing, Tissue: Ureter"
", look up, you need to grab this",10:06:49,16,,,,grip_hold,grip_hold,True,,,,c16_s0_1-11-53.avi,True,Advance the needle driver to secure the suture on the tissue.
", why is the bladder neck so thin?",11:46:38,28,,,,,,,urinary_tract,urinary_tract,True,c28_s0_1-41-54.avi,True,Ensure precise dissection and maintain clear visualization of the surgical field.
Break the shorter one off and then tie and then I'm going to test leave one needle on,17:59:02,12,suturing_tools,suturing_tools,True,,,,,,,c12_s0_2-12-33.avi,True,Advance the needle driver to continue suturing the tissue.
Do not stick the balloon.,17:41:55,12,,,,,,,None,None,True,c12_s0_1-55-26.avi,True,Ensure precise suture placement and maintain tension on the tissue.
Do we have a rescue suture?,16:57:40,13,suturing_tools,suturing_tools,True,,,,,,,c13_s0_1-33-6.avi,True,"instrument: grasper, action: retracting, tissue: fibrous tissue"
"Even if he wants to do CIC, he better has this claim the prostate so he will not have significant problems passing the catheter in, either way he benefits from that.",14:22:01,15,,,,,,,prostate,prostate,True,c15_s0_0-13-4.avi,True,Ensure precise instrument control and maintain clear visualization of the surgical field.
"Hang on, grab with the...",16:49:36,14,,,,grip_hold,grip_hold,True,,,,c14_s0_1-49-40.avi,True,"Instrument: ProGrasp forceps, Action: Retract, Tissue: NaN"
I don't know if you're completely through that little vessel,12:01:55,28,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c28_s0_1-57-11.avi,True,Maintain gentle traction and ensure clear visualization of the surgical field.
I don't know why you are encroaching closer to the prostate,09:58:06,33,,,,,,,prostate,prostate,True,c33_s0_1-23-53.avi,True,Maintain gentle pressure to improve visualization and ensure precise dissection.
"I mean, you can but you don't need to, because what we need",13:55:07,4,,,,,,,prostate,prostate,True,c4_s0_0-33-5.avi,True,Maintain gentle traction and ensure clear visualization of the surgical field.
"I still don't know if we have ureter up or not, so you can keep going, you just have to think about that, okay?",09:35:46,24,,,,,,,urinary_tract,urinary_tract,True,c24_s0_0-31-16.avi,True,Maintain gentle traction and proceed with careful dissection of the tissue.
"I think it's even closer, I think you're...",14:26:25,2,None,None,True,,,,,,,c2_s0_0-26-39.avi,True,Maintain steady traction and ensure clear visualization of the surgical field.
"I think you are too far from the prostate, very very far, don't you think?",16:08:58,26,,,,,,,prostate,prostate,True,c26_s0_1-53-37.avi,True,Maintain steady traction and ensure clear visualization of the surgical field.
I think you should take the other one first,15:31:28,10,,,,grip_hold,grip_hold,True,,,,c10_s0_1-20-50.avi,True,Ensure secure grasp on tissue with the instrument. Proceed with careful dissection.
"I thought we switched to needle driver, would you mind switching",17:47:41,9,suturing_tools,suturing_tools,True,,,,,,,c9_s0_1-39-58.avi,True,Ensure precise suture placement and maintain tension on the tissue edges.
I want to see the whole nerve before you take all this tissue down,09:36:20,33,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c33_s0_1-2-7.avi,True,Maintain gentle traction on the tissue for optimal exposure.
I was going to put another clip there,17:09:28,7,clip_device,clip_device,True,,,,,,,c7_s0_0-26-6.avi,True,Continue with precise dissection and maintain clear visualization of the surgical field.
I would buzz a little bit higher...dont buz ...,15:59:45,32,,,,coagulate,coagulate,True,,,,c32_s0_0-51-59.avi,True,Advance the instrument carefully along the tissue plane.
I would cheat a little bit closer to your last stitch,18:57:35,29,suturing_tools,suturing_tools,True,,,,,,,c29_s0_3-8-35.avi,True,Maintain gentle traction on the tissue for better visualization.
I would not lift it with that...stop for a second,10:47:01,31,,,,interrupt_action,interrupt_action,True,,,,c31_s0_1-12-30.avi,True,"instrument: grasper, action: retract, tissue: fibrotic area"
"I wouldnt do that much yet...the reason is bc i want to start from here and start to see adrenal and march lateral to that and you dont know that yet, so i wouldnt even bother scoring the adrenal",17:18:27,7,,,,,,,retroperitoneal_structures,retroperitoneal_structures,True,c7_s0_0-35-5.avi,True,"Instrument: bipolar forceps, Action: coagulating, Tissue: peritoneum"
Like you're digging under your suture line.,18:10:46,12,suturing_tools,suturing_tools,True,,,,,,,c12_s0_2-24-17.avi,True,Continue suturing the tissue with precise tension.
No the veins gonna collapse,15:09:19,10,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c10_s0_0-58-41.avi,True,"Instrument: Maryland Bipolar, Action: Grasping, Tissue: Ureter"
