model,task,auprc_mean,auroc_mean,accuracy_mean,precision_mean,recall_mean,f1_mean,confusion_matrix,confusion_matrix_labels,sample_predictions
surgvlp,instrument,0.5717764639379342,0.6302863186462324,0.5064367816091954,0.5309053134529808,0.5064367816091954,0.5065378812708089,"[[ 8  6  5  1]
 [ 7 49 13  9]
 [ 6  9 11  3]
 [ 2  7  5  7]]","[np.str_('clipper'), np.str_('bipolar'), np.str_('scissors'), np.str_('grasper')]",['bipolar' 'scissors' 'bipolar' 'clipper' 'grasper' 'scissors']
surgvlp,verb,0.5356123665127143,0.6810496871799795,0.4901209677419355,0.5091895215706761,0.4901209677419355,0.47708442624223224,"[[ 2  3  0  2  1]
 [ 1 17  2  6 15]
 [ 0  3  2  1  2]
 [ 3  5  1  8 15]
 [ 1  9  0 11 49]]","[np.str_('coagulate'), np.str_('cut'), np.str_('clip'), np.str_('retract'), np.str_('grasp')]",['cut' 'cut' 'cut' 'cut' 'grasp' 'grasp']
surgvlp,target,0.8617540575514825,0.7641295423716713,0.8593596059113301,0.8261682455475559,0.8593596059113301,0.8397812573305184,"[[113   2   4]
 [  9   0   0]
 [  4   1   9]]","[np.str_('blood_vessel'), np.str_('cystic_artery'), np.str_('peritoneum')]","['blood_vessel' 'blood_vessel' 'blood_vessel' 'blood_vessel' 'peritoneum'
 'blood_vessel']"
hecvl,instrument,0.5144252012665896,0.6057674808429119,0.4717241379310345,0.47523688531674013,0.4717241379310345,0.4692405442059847,"[[ 6  9  4  1]
 [ 6 49 13 10]
 [ 4  9  9  7]
 [ 1  9  5  6]]","[np.str_('clipper'), np.str_('bipolar'), np.str_('scissors'), np.str_('grasper')]",['clipper' 'bipolar' 'bipolar' 'clipper' 'grasper' 'bipolar']
hecvl,verb,0.5855083977438211,0.7072300127208141,0.5161290322580645,0.5200707976410969,0.5161290322580645,0.5033730030048325,"[[ 1  2  0  2  3]
 [ 1 18  2  5 15]
 [ 0  3  2  1  2]
 [ 4  4  0 12 12]
 [ 1  9  2  9 49]]","[np.str_('coagulate'), np.str_('cut'), np.str_('clip'), np.str_('retract'), np.str_('grasp')]",['cut' 'coagulate' 'coagulate' 'grasp' 'grasp' 'grasp']
hecvl,target,0.846580880400419,0.7074008754551296,0.8450738916256159,0.8179264873057976,0.8450738916256159,0.8299717335209946,"[[111   3   5]
 [  9   0   0]
 [  4   1   9]]","[np.str_('blood_vessel'), np.str_('cystic_artery'), np.str_('peritoneum')]","['blood_vessel' 'blood_vessel' 'blood_vessel' 'blood_vessel' 'peritoneum'
 'blood_vessel']"
peskavlp,instrument,0.5728115496635955,0.6620887611749681,0.5473563218390805,0.5171315077755241,0.5473563218390805,0.5200378392205913,"[[ 6 10  3  1]
 [ 5 59  8  6]
 [ 4  8 12  5]
 [ 1 10  6  4]]","[np.str_('clipper'), np.str_('bipolar'), np.str_('scissors'), np.str_('grasper')]",['bipolar' 'bipolar' 'bipolar' 'clipper' 'bipolar' 'clipper']
peskavlp,verb,0.5599756061313277,0.6905491951484896,0.5028225806451613,0.5117816972511304,0.5028225806451613,0.4838495024696307,"[[ 1  1  0  2  4]
 [ 1 18  1  9 12]
 [ 0  2  2  0  4]
 [ 1  7  1 10 13]
 [ 2  8  3  8 49]]","[np.str_('coagulate'), np.str_('cut'), np.str_('clip'), np.str_('retract'), np.str_('grasp')]",['grasp' 'coagulate' 'cut' 'grasp' 'grasp' 'grasp']
peskavlp,target,0.8916160991151332,0.8046820339830086,0.845320197044335,0.8372722851860782,0.845320197044335,0.8384055991977959,"[[110   5   4]
 [  8   1   0]
 [  4   1   9]]","[np.str_('blood_vessel'), np.str_('cystic_artery'), np.str_('peritoneum')]","['blood_vessel' 'blood_vessel' 'blood_vessel' 'blood_vessel' 'peritoneum'
 'blood_vessel']"
videomae_urology,instrument,0.44854268303587075,0.5286762452107279,0.4181609195402299,0.40727067058101535,0.4181609195402299,0.40104230618853337,"[[ 3 12  3  2]
 [ 4 50 11 13]
 [ 4 14  6  5]
 [ 1 13  4  3]]","[np.str_('clipper'), np.str_('bipolar'), np.str_('scissors'), np.str_('grasper')]",['bipolar' 'bipolar' 'bipolar' 'clipper' 'grasper' 'clipper']
videomae_urology,verb,0.5964951788519921,0.6931479114663338,0.5155241935483871,0.5267384840292397,0.5155241935483871,0.49692588266951593,"[[ 2  3  0  2  1]
 [ 3 18  4  7  9]
 [ 0  3  2  1  2]
 [ 1  3  2  9 17]
 [ 2  7  1  9 51]]","[np.str_('coagulate'), np.str_('cut'), np.str_('clip'), np.str_('retract'), np.str_('grasp')]",['cut' 'cut' 'cut' 'cut' 'grasp' 'cut']
videomae_urology,target,0.8597736060342452,0.7668217230670379,0.8529556650246306,0.8278548692686625,0.8529556650246306,0.8374823900003351,"[[112   3   4]
 [  7   1   1]
 [  6   0   8]]","[np.str_('blood_vessel'), np.str_('cystic_artery'), np.str_('peritoneum')]","['blood_vessel' 'blood_vessel' 'blood_vessel' 'blood_vessel' 'peritoneum'
 'blood_vessel']"
videomae_cholect45,instrument,0.6054630412988684,0.6929385376756068,0.5671264367816091,0.5693029124535476,0.5671264367816091,0.5503498490111066,"[[ 7 10  2  1]
 [ 7 58  4  9]
 [ 2 11 14  2]
 [ 2 10  4  5]]","[np.str_('clipper'), np.str_('bipolar'), np.str_('scissors'), np.str_('grasper')]",['bipolar' 'scissors' 'clipper' 'grasper' 'grasper' 'bipolar']
videomae_cholect45,verb,0.5277862445558246,0.6563217545922939,0.509475806451613,0.47594505964465644,0.509475806451613,0.47877393230190834,"[[ 1  3  0  0  4]
 [ 2 21  3  4 11]
 [ 0  3  2  2  1]
 [ 2 10  1  4 15]
 [ 1  6  1  9 53]]","[np.str_('coagulate'), np.str_('cut'), np.str_('clip'), np.str_('retract'), np.str_('grasp')]",['grasp' 'coagulate' 'cut' 'grasp' 'grasp' 'cut']
videomae_cholect45,target,0.8986662254409739,0.836520355893482,0.8524630541871921,0.8027589154140878,0.8524630541871921,0.8237462773286655,"[[114   2   3]
 [  9   0   0]
 [  7   0   7]]","[np.str_('blood_vessel'), np.str_('cystic_artery'), np.str_('peritoneum')]","['blood_vessel' 'cystic_artery' 'blood_vessel' 'blood_vessel' 'peritoneum'
 'blood_vessel']"
