Dialogue,instrument,action,tissue,generated_feedback,alignment_score
"check on the left side, just see what's uhh.. it was either...",[NONE],[Check on the left side],[NONE],Verify the left side for any issues.,5
just give that a little tap there,[NONE],[tap little],[NONE],Ensure precise control with gentle tapping.,4
alright let's do a little uh... uh... mhm.. that's very small prostate.. okay,[NONE],[NONE],[small prostate],Focus on the small prostate for precise dissection.,3
"just stay in that plane though, yeah?",[NONE],[stay],[surgical plane],Maintain the current position on the surgical plane.,5
you can even come 1 mm closer to the prostate,[NONE],[come closer],[prostate],Come closer to the prostate for better visualization.,4
1 mm closer to the prostate,[NONE],[closer],[prostate],Move closer to the prostate.,4
"so I want you to... so you're gonna stay kind of a horizontal line, okay?",[NONE],[stay],[NONE],Maintain current position.,4
"at some point, you're gonna deviate this way, it's a very mild smile, okay?",[NONE],[deviate],[NONE],Maintain precise control to avoid unintended deviations.,3
"and I like it wide, I like the incision to be wide so you're not digging yourself in a hole",[NONE],[make it wide],[NONE],Specify the instrument and tissue before proceeding with widening.,3
so make sure you stay in the same plane... more or less are,[NONE],[stay],[NONE],Maintain your current position.,4
and about there you can start doing a little mild smile towards the prostate,[NONE],[start doing],[prostate],Begin working on the prostate.,3
"okay, so open up wide, this is what I mean by not digging yourself in a hole... I want all the lateral stuff opened up or dropped",[NONE],"[open up wide, open up, drop]",[lateral structure],Open up the lateral structure.,3
and the reason for that is it gives you a sense of the prostate's contour,[NONE],[NONE],[prostate contour],Focus on the prostate contour for precise dissection.,3
just buzz that right there when you can see it... whatever the... yeah bladder neck thing,[electrocautery],[buzz],[bladder neck],Use electrocautery to buzz the bladder neck carefully.,4
"okay, yes but I want the elbow of the scissors dropped.. or the graspers dropped","[scissors, graspers]",[drop],[NONE],Drop the instruments carefully to avoid any unintended contact.,3
"and if you can, be more midline... you see how you're a little tweeked to one side than the other",[NONE],[be more midline],[NONE],Adjust your position to be more midline.,5
"so now, you can either hold it there and take your bladder neck, okay?",[NONE],"[hold, take]",[bladder neck],Hold and take the bladder neck carefully.,5
"and that is your former retraction, so I think it can go, yep, go ahead",[retractor],[go ahead],[NONE],Proceed with the retractor placement.,3
and then here you're gonna kind of match up a little bit there,[NONE],[match up],[NONE],Ensure alignment is precise before proceeding.,4
"just a little bit towards the bladder, a touch",[NONE],[NONE],[bladder],Focus on the bladder for the next step.,3
"so make sure... so one thing, look at your left hand... my pet peeve is... so don't stretch it so much, you're destroying your natural elasticity of your bladder neck, okay?",[left hand],"[make sure, look, don't stretch]",[bladder neck],Ensure you don't stretch the bladder neck with your left hand.,5
just buzz what's on the bladder neck that's oozing... well both... there's two things that are oozing... you want to minimize these distractions,[electrocautery],"[buzz, minimize]",[bladder neck],Minimize buzzing with electrocautery at the bladder neck.,4
"and then on the anterior bladder neck, take care of that",[NONE],[take care],[anterior bladder neck],Take care around the anterior bladder neck.,5
"I'm glad you're cautious, but you're like... barely touching the tissue",[NONE],[NONE],[tissue],Focus on the tissue for optimal visualization and precision.,3
"so stick with something for a little bit, maximize what you can do there",[NONE],"[stick, maximize]",[NONE],Maximize stick action for optimal control.,4
so there on that side... you're going to have to come back a little bit,[NONE],[come back a little bit],[NONE],Come back a little bit for better positioning.,5
stay there,[NONE],[stay],[NONE],Maintain your current position.,5
"yeah, you can, you can... I thought when you were talking about the lateral thing I thought you were talking about the anteiror part",[NONE],[NONE],"[lateral structure, anterior structure]",Focus on the lateral and anterior structures for optimal exposure.,2
"yeah, you can definitely... I do want you to do the lateral part",[NONE],[do],[lateral structure],Proceed with caution on the lateral structure.,4
"yeah, so that's the problem... okay come back... so I'm going to take over for a quick second, okay?",[NONE],[come back],[NONE],Return to a neutral position.,2
"be careful, that was a very aggressive grab, no need for that",[graspers],[be careful],[NONE],Be careful with the graspers.,4
so your original bladder neck wasn't that big and you kind of stretched it out quite aggressively in the very beginning... so just be aware of that,[NONE],[be aware],[bladder neck],Be aware of the bladder neck.,4
