Dialogue,instrument,action,tissue,iat_triplet,label_prompt,generated_feedback
"check on the left side, just see what's uhh.. it was either...",[NONE],[Check on the left side],[NONE],"('[NONE]', '[Check on the left side]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [Check on the left side], tissue: [NONE]

Feedback:
",Check on the left side for any issues.
just give that a little tap there,[NONE],[tap little],[NONE],"('[NONE]', '[tap little]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [tap little], tissue: [NONE]

Feedback:
",Ensure gentle tapping to maintain precision.
alright let's do a little uh... uh... mhm.. that's very small prostate.. okay,[NONE],[NONE],[small prostate],"('[NONE]', '[NONE]', '[small prostate]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [small prostate]

Feedback:
",Focus on the small prostate for precise dissection.
"just stay in that plane though, yeah?",[NONE],[stay],[surgical plane],"('[NONE]', '[stay]', '[surgical plane]')","IAT Triplet:
instrument: [NONE], action: [stay], tissue: [surgical plane]

Feedback:
",Maintain the current position on the surgical plane.
you can even come 1 mm closer to the prostate,[NONE],[come closer],[prostate],"('[NONE]', '[come closer]', '[prostate]')","IAT Triplet:
instrument: [NONE], action: [come closer], tissue: [prostate]

Feedback:
",Come closer to the prostate for better visualization.
1 mm closer to the prostate,[NONE],[closer],[prostate],"('[NONE]', '[closer]', '[prostate]')","IAT Triplet:
instrument: [NONE], action: [closer], tissue: [prostate]

Feedback:
",Move closer to the prostate.
"so I want you to... so you're gonna stay kind of a horizontal line, okay?",[NONE],[stay],[NONE],"('[NONE]', '[stay]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [stay], tissue: [NONE]

Feedback:
",Maintain your current position.
"at some point, you're gonna deviate this way, it's a very mild smile, okay?",[NONE],[deviate],[NONE],"('[NONE]', '[deviate]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [deviate], tissue: [NONE]

Feedback:
",Maintain focus and ensure precise control of the instruments.
"and I like it wide, I like the incision to be wide so you're not digging yourself in a hole",[NONE],[make it wide],[NONE],"('[NONE]', '[make it wide]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [make it wide], tissue: [NONE]

Feedback:
",Clarify the action and tissue before proceeding.
so make sure you stay in the same plane... more or less are,[NONE],[stay],[NONE],"('[NONE]', '[stay]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [stay], tissue: [NONE]

Feedback:
",Maintain your current position.
and about there you can start doing a little mild smile towards the prostate,[NONE],[start doing],[prostate],"('[NONE]', '[start doing]', '[prostate]')","IAT Triplet:
instrument: [NONE], action: [start doing], tissue: [prostate]

Feedback:
",Begin the procedure on the prostate.
"okay, so open up wide, this is what I mean by not digging yourself in a hole... I want all the lateral stuff opened up or dropped",[NONE],"[open up wide, open up, drop]",[lateral structure],"('[NONE]', '[open up wide, open up, drop]', '[lateral structure]')","IAT Triplet:
instrument: [NONE], action: [open up wide, open up, drop], tissue: [lateral structure]

Feedback:
",Open up the lateral structure.
and the reason for that is it gives you a sense of the prostate's contour,[NONE],[NONE],[prostate contour],"('[NONE]', '[NONE]', '[prostate contour]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [prostate contour]

Feedback:
",Focus on the prostate contour for precise identification.
just buzz that right there when you can see it... whatever the... yeah bladder neck thing,[electrocautery],[buzz],[bladder neck],"('[electrocautery]', '[buzz]', '[bladder neck]')","IAT Triplet:
instrument: [electrocautery], action: [buzz], tissue: [bladder neck]

Feedback:
",Use electrocautery to buzz the bladder neck carefully.
"okay, yes but I want the elbow of the scissors dropped.. or the graspers dropped","[scissors, graspers]",[drop],[NONE],"('[scissors, graspers]', '[drop]', '[NONE]')","IAT Triplet:
instrument: [scissors, graspers], action: [drop], tissue: [NONE]

Feedback:
",Drop the instruments carefully.
"and if you can, be more midline... you see how you're a little tweeked to one side than the other",[NONE],[be more midline],[NONE],"('[NONE]', '[be more midline]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [be more midline], tissue: [NONE]

Feedback:
",Adjust your position to be more midline.
"so now, you can either hold it there and take your bladder neck, okay?",[NONE],"[hold, take]",[bladder neck],"('[NONE]', '[hold, take]', '[bladder neck]')","IAT Triplet:
instrument: [NONE], action: [hold, take], tissue: [bladder neck]

Feedback:
",Hold and take the bladder neck carefully.
"and that is your former retraction, so I think it can go, yep, go ahead",[retractor],[go ahead],[NONE],"('[retractor]', '[go ahead]', '[NONE]')","IAT Triplet:
instrument: [retractor], action: [go ahead], tissue: [NONE]

Feedback:
",Proceed with retraction carefully.
and then here you're gonna kind of match up a little bit there,[NONE],[match up],[NONE],"('[NONE]', '[match up]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [match up], tissue: [NONE]

Feedback:
",Ensure alignment is precise before proceeding.
